OBJECTID,NAME,State,County,GEOid_1,GEOdisplay,HH0V_15,HH0V_14,HH0V_13,HH0V_12,HH0V_11,HH1V_15,HH1V_14,HH1V_13,HH1V_12,HH1V_11,HH2V_15,HH2V_14,HH2V_13,HH2V_12,HH2V_11,HH3V_15,HH3V_14,HH3V_13,HH3V_12,HH3V_11,HH4V_15,HH4V_14,HH4V_13,HH4V_12,HH4V_11,P1HH0V_15,P1HH0V_14,P1HH0V_13,P1HH0V_12,P1HH0V_11,P1HH1V_15,P1HH1V_14,P1HH1V_13,P1HH1V_12,P1HH1V_11,P1HH2V_15,P1HH2V_14,P1HH2V_13,P1HH2V_12,P1HH2V_11,P1HH3V_15,P1HH3V_14,P1HH3V_13,P1HH3V_12,P1HH3V_11,P1HH4V_15,P1HH4V_14,P1HH4V_13,P1HH4V_12,P1HH4V_11,P2HH0V_15,P2HH0V_14,P2HH0V_13,P2HH0V_12,P2HH0V_11,P2HH1V_15,P2HH1V_14,P2HH1V_13,P2HH1V_12,P2HH1V_11,P2HH2V_15,P2HH2V_14,P2HH2V_13,P2HH2V_12,P2HH2V_11,P2HH3V_15,P2HH3V_14,P2HH3V_13,P2HH3V_12,P2HH3V_11,P2HH4V_15,P2HH4V_14,P2HH4V_13,P2HH4V_12,P2HH4V_11,P3HH0V_15,P3HH0V_14,P3HH0V_13,P3HH0V_12,P3HH0V_11,P3HH1V_15,P3HH1V_14,P3HH1V_13,P3HH1V_12,P3HH1V_11,P3HH2V_15,P3HH2V_14,P3HH2V_13,P3HH2V_12,P3HH2V_11,P3HH3V_15,P3HH3V_14,P3HH3V_13,P3HH3V_12,P3HH3V_11,P3HH4V_15,P3HH4V_14,P3HH4V_13,P3HH4V_12,P3HH4V_11,P4HH0V_15,P4HH0V_14,P4HH0V_13,P4HH0V_12,P4HH0V_11,P4HH1V_15,P4HH1V_14,P4HH1V_13,P4HH1V_12,P4HH1V_11,P4HH2V_15,P4HH2V_14,P4HH2V_13,P4HH2V_12,P4HH2V_11,P4HH3V_15,P4HH3V_14,P4HH3V_13,P4HH3V_12,P4HH3V_11,P4HH4V_15,P4HH4V_14,P4HH4V_13,P4HH4V_12,P4HH4V_11,CT
108,34,District of Columbia,District of Columbia,1400000US11001003400,"Census Tract 34, District of Columbia, District of Columbia",41.77,39.77,34.72,42.49,37.79,37.86,40.81,37.87,34.94,37.53,14.69,13.43,21.18,18.07,19.49,5.01,5.98,6.22,4.50,5.19,0.68,0.00,0.00,0.00,0.00,59.30,57.30,54.20,58.70,59.10,34.10,35.10,39.20,35.90,38.80,6.50,7.60,6.50,5.40,2.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,24.90,24.50,19.70,34.10,29.50,49.70,53.30,43.40,30.80,27.30,18.30,11.10,28.30,30.80,37.90,7.10,11.10,8.60,4.30,5.30,0.00,0.00,0.00,0.00,0.00,46.30,26.50,15.90,12.10,20.30,30.50,47.10,42.70,51.50,52.70,23.20,26.50,41.50,36.40,27.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21.20,27.90,0.22,26.30,21.50,29.50,26.00,16.30,36.00,47.50,23.10,26.60,39.50,17.70,16.10,21.20,19.50,22.70,20.00,14.90,5.10,0.00,0.00,0.00,0.00,11001003400
109,38,District of Columbia,District of Columbia,1400000US11001003800,"Census Tract 38, District of Columbia, District of Columbia",43.84,49.44,45.62,41.67,41.04,45.66,41.86,46.97,49.23,49.79,9.29,8.03,7.41,9.09,9.17,1.21,0.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,51.50,54.70,46.10,41.90,43.80,48.50,45.30,53.90,54.50,51.50,0.00,0.00,0.00,3.60,4.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,39.70,44.70,44.20,41.90,35.90,41.20,38.70,39.80,43.60,52.80,18.00,16.40,16.00,14.50,11.40,1.10,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.40,40.30,50.20,37.90,45.40,62.10,40.80,36.90,42.30,34.20,10.00,12.20,12.80,19.80,20.40,10.50,6.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,44.40,52.70,0.45,43.20,32.60,31.00,34.90,46.50,32.10,17.40,24.60,12.40,8.80,24.70,50.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11001003800
110,40.02,District of Columbia,District of Columbia,1400000US11001004002,"Census Tract 40.02, District of Columbia, District of Columbia",48.76,44.80,44.46,43.31,42.41,39.78,44.01,47.10,50.13,50.32,8.60,7.70,5.45,3.63,4.37,1.60,2.02,1.58,0.81,0.95,1.27,1.46,1.41,2.13,1.96,66.20,61.90,59.40,55.80,53.70,30.60,35.00,40.10,43.60,46.30,3.20,3.20,0.60,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.80,20.80,19.10,18.70,18.00,56.50,63.60,65.90,72.50,69.30,15.70,15.60,15.00,8.80,12.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.70,23.70,37.80,43.70,38.60,17.80,12.90,7.80,11.30,14.50,17.80,5.40,6.70,9.90,19.30,32.20,30.10,21.10,0.00,0.00,25.60,28.00,26.70,35.20,27.70,22.90,14.30,0.13,11.90,5.70,61.40,57.10,67.30,26.20,45.30,15.70,12.20,5.50,9.50,5.70,0.00,16.30,14.50,31.00,28.30,0.00,0.00,0.00,21.40,15.10,11001004002
111,41,District of Columbia,District of Columbia,1400000US11001004100,"Census Tract 41, District of Columbia, District of Columbia",36.88,32.10,30.69,29.93,32.32,41.62,45.61,49.13,51.86,52.09,14.00,12.88,9.95,11.04,10.88,6.05,7.24,8.42,5.42,3.92,1.45,2.16,1.81,1.76,0.80,46.60,41.20,42.20,37.30,43.40,51.40,56.70,55.70,59.60,53.10,1.00,1.10,0.90,3.10,3.50,1.10,1.10,1.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29.60,27.90,22.30,26.30,19.50,31.40,35.00,50.50,49.90,58.30,28.60,27.50,21.10,17.00,18.70,7.90,6.40,4.70,5.30,3.50,2.50,3.20,1.40,1.60,0.00,33.30,12.40,13.30,7.00,21.40,43.10,34.20,29.10,24.00,24.40,18.10,27.30,19.60,27.10,22.90,5.60,26.10,38.00,41.90,31.30,0.00,0.00,0.00,0.00,0.00,7.10,11.40,0.10,19.30,21.30,22.40,25.00,28.20,34.90,48.00,23.50,14.80,14.50,24.10,14.70,37.60,29.50,29.10,0.00,0.00,9.40,19.30,18.20,21.70,16.00,11001004100
112,48.02,District of Columbia,District of Columbia,1400000US11001004802,"Census Tract 48.02, District of Columbia, District of Columbia",49.94,49.34,41.53,32.51,32.91,37.88,41.89,50.48,53.99,52.11,11.77,8.39,7.66,11.10,12.53,0.41,0.38,0.32,2.40,2.45,0.00,0.00,0.00,0.00,0.00,62.40,60.60,57.00,47.70,52.00,33.60,36.30,43.00,48.20,44.20,4.10,3.20,0.00,0.00,0.00,0.00,0.00,0.00,4.10,3.70,0.00,0.00,0.00,0.00,0.00,29.70,33.00,28.90,20.00,15.50,46.70,51.10,56.50,56.10,60.40,22.70,14.90,13.90,22.10,22.20,1.00,1.10,0.70,1.80,2.00,0.00,0.00,0.00,0.00,0.00,61.50,54.10,38.50,34.00,0.00,31.30,39.50,51.30,66.00,100.00,7.10,6.50,10.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,72.90,50.00,0.40,40.00,39.70,23.70,37.50,52.60,60.00,36.20,3.40,12.50,7.80,0.00,24.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11001004802
113,49.01,District of Columbia,District of Columbia,1400000US11001004901,"Census Tract 49.01, District of Columbia, District of Columbia",37.94,34.24,35.97,37.09,41.65,48.96,51.12,48.14,44.97,37.38,10.93,9.07,8.66,10.07,12.62,1.90,3.71,4.95,5.18,5.05,0.27,1.85,2.28,2.69,3.30,54.50,44.20,53.40,56.00,65.10,44.00,50.10,37.20,33.10,18.00,1.50,1.50,4.30,5.60,7.30,0.00,0.00,0.00,0.00,0.00,0.00,4.20,5.10,5.30,9.60,28.20,35.30,29.70,29.90,28.10,56.70,51.70,56.10,52.50,55.60,13.80,11.50,10.00,12.70,9.60,1.30,1.50,4.20,4.90,6.80,0.00,0.00,0.00,0.00,0.00,23.50,24.60,33.60,42.30,43.10,62.60,63.40,51.70,42.30,24.90,14.00,3.70,7.00,2.90,23.40,0.00,8.20,7.70,12.50,8.60,0.00,0.00,0.00,0.00,0.00,35.10,17.10,0.12,10.00,0.00,22.90,40.40,47.70,53.30,67.90,27.50,24.70,18.00,18.00,22.20,12.20,14.40,18.00,12.70,9.90,2.30,3.40,4.70,6.00,0.00,11001004901
114,52.01,District of Columbia,District of Columbia,1400000US11001005201,"Census Tract 52.01, District of Columbia, District of Columbia",49.46,48.02,48.79,48.75,53.49,44.81,47.16,45.94,46.41,40.69,5.73,4.53,4.66,4.25,4.82,0.00,0.29,0.61,0.27,0.50,0.00,0.00,0.00,0.32,0.50,52.70,48.90,54.00,54.10,61.90,46.40,50.20,45.10,44.60,36.60,1.00,0.90,0.80,0.90,0.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.40,0.70,50.20,50.40,39.60,37.80,33.90,33.80,35.40,41.30,48.00,49.70,16.00,14.20,19.20,14.20,16.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21.20,29.80,27.10,9.90,22.10,73.00,54.10,62.60,74.30,55.90,5.80,11.40,3.10,8.60,8.30,0.00,4.70,7.10,7.20,13.80,0.00,0.00,0.00,0.00,0.00,27.80,45.80,0.00,0.00,0.00,72.20,54.20,42.40,48.40,75.50,0.00,0.00,57.60,51.60,24.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11001005201
115,53.01,District of Columbia,District of Columbia,1400000US11001005301,"Census Tract 53.01, District of Columbia, District of Columbia",60.46,62.13,61.34,59.08,56.02,36.77,33.53,34.47,35.51,38.63,2.78,4.34,4.19,4.95,4.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.46,0.67,71.30,73.90,70.60,66.00,62.60,28.70,26.10,29.40,33.20,35.80,0.00,0.00,0.00,0.00,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.70,1.00,44.10,45.30,41.00,49.60,43.40,47.20,41.40,44.60,38.00,45.50,8.70,13.40,14.40,12.40,11.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23.80,42.90,60.00,40.70,42.50,76.20,57.10,40.00,46.20,38.50,0.00,0.00,0.00,13.00,19.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,88.10,86.00,54.50,0.00,0.00,11.90,14.00,45.50,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11001005301
116,62.02,District of Columbia,District of Columbia,1400000US11001006202,"Census Tract 62.02, District of Columbia, District of Columbia",0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11001006202
117,65,District of Columbia,District of Columbia,1400000US11001006500,"Census Tract 65, District of Columbia, District of Columbia",30.33,27.81,24.84,28.30,27.82,53.41,55.01,57.90,53.06,55.49,14.42,16.41,15.40,15.62,14.81,1.84,0.78,1.85,3.02,1.88,0.00,0.00,0.00,0.00,0.00,45.80,45.90,40.40,42.50,37.00,51.60,51.70,55.80,55.90,61.50,2.70,2.40,3.80,1.60,1.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.00,11.70,10.70,14.10,15.90,67.70,68.70,70.20,65.40,62.90,18.30,19.50,19.00,20.40,21.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,39.90,30.70,19.60,24.30,26.00,25.70,37.60,39.60,27.20,30.70,24.80,27.30,31.40,34.50,35.40,9.60,4.40,9.40,14.00,7.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.21,17.20,17.60,68.50,41.50,58.30,31.00,25.70,31.50,58.50,20.80,39.70,43.20,0.00,0.00,0.00,12.10,13.50,0.00,0.00,0.00,0.00,0.00,11001006500
118,68.01,District of Columbia,District of Columbia,1400000US11001006801,"Census Tract 68.01, District of Columbia, District of Columbia",20.63,22.55,32.23,30.92,29.39,52.20,48.21,41.68,37.68,36.32,25.59,27.09,23.73,27.49,30.23,1.58,2.15,1.30,1.90,1.55,0.00,0.00,1.06,2.01,2.51,34.20,37.20,46.70,39.50,37.40,63.20,59.60,52.10,44.30,44.70,2.60,3.20,1.10,13.80,14.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.40,3.50,11.00,6.80,18.40,26.90,26.00,50.50,49.80,43.10,41.00,37.20,38.40,43.30,38.50,32.10,36.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.60,30.00,32.60,28.10,21.30,50.90,45.70,32.60,27.10,26.90,31.50,24.30,34.70,44.80,51.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.20,0.23,12.60,20.20,18.30,13.90,8.20,14.60,15.20,68.80,54.10,48.50,49.50,42.40,12.80,14.80,11.30,15.50,13.10,0.00,0.00,9.30,7.80,9.10,11001006801
119,70,District of Columbia,District of Columbia,1400000US11001007000,"Census Tract 70, District of Columbia, District of Columbia",25.33,20.90,24.93,22.90,20.66,59.28,63.13,60.79,62.35,64.56,11.17,10.71,11.81,10.55,10.54,4.22,5.27,2.47,4.20,4.24,0.00,0.00,0.00,0.00,0.00,46.00,38.00,40.90,38.80,29.00,48.70,54.50,51.10,54.20,68.00,3.40,5.70,6.30,5.60,3.00,1.80,1.80,1.70,1.40,0.00,0.00,0.00,0.00,0.00,0.00,15.90,12.70,14.20,15.00,18.30,67.70,72.10,71.20,65.70,59.40,16.40,15.30,14.60,14.00,17.10,0.00,0.00,0.00,5.30,5.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,72.70,68.60,82.80,81.10,72.20,9.70,3.80,5.40,6.30,6.50,17.50,27.70,11.80,12.60,21.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,58.50,59.80,32.70,64.30,64.10,30.20,29.90,52.70,35.70,35.90,11.30,10.30,14.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11001007000
120,73.01,District of Columbia,District of Columbia,1400000US11001007301,"Census Tract 73.01, District of Columbia, District of Columbia",3.76,4.34,1.94,2.26,1.92,42.53,37.79,35.87,38.70,32.99,47.83,50.12,57.81,54.24,59.91,5.88,7.75,4.39,4.80,5.18,0.00,0.00,0.00,0.00,0.00,25.00,47.20,0.00,0.00,0.00,55.40,17.00,24.30,33.30,65.20,19.60,35.80,75.70,66.70,34.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.60,1.80,0.00,0.00,0.00,48.90,54.70,51.90,51.90,43.40,42.30,35.90,41.40,48.10,56.60,5.10,7.60,6.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,47.70,34.10,17.60,25.20,21.60,47.00,59.60,82.40,67.00,66.70,5.40,6.30,0.00,7.80,11.70,0.00,0.00,0.00,0.00,0.00,1.20,2.30,0.05,6.00,6.30,28.40,32.60,35.40,39.10,30.20,61.80,55.20,54.50,48.10,59.00,8.70,9.90,5.50,6.80,4.40,0.00,0.00,0.00,0.00,0.00,11001007301
121,74.01,District of Columbia,District of Columbia,1400000US11001007401,"Census Tract 74.01, District of Columbia, District of Columbia",71.32,72.30,68.32,70.99,76.30,19.96,19.47,24.75,22.12,18.84,8.19,8.23,6.93,6.90,4.86,0.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,74.20,80.20,78.80,93.60,86.60,12.80,9.90,13.80,6.40,13.40,13.10,9.90,7.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,70.70,67.80,70.60,78.10,87.80,25.80,28.80,27.20,19.80,12.20,3.50,3.40,2.10,2.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,72.20,67.00,59.00,42.60,51.70,18.10,15.10,27.00,39.00,36.80,9.70,17.80,14.00,18.40,11.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63.70,67.30,0.57,48.10,46.70,32.90,32.70,38.00,36.60,32.70,0.00,0.00,5.40,15.30,20.70,3.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11001007401
122,75.03,District of Columbia,District of Columbia,1400000US11001007503,"Census Tract 75.03, District of Columbia, District of Columbia",44.30,39.27,44.57,44.15,47.12,42.56,45.83,41.88,45.90,45.29,10.53,12.79,11.31,9.02,7.59,2.06,2.11,2.24,0.94,0.00,0.54,0.00,0.00,0.00,0.00,50.20,48.40,43.80,37.10,43.90,45.90,48.70,52.30,62.90,56.10,4.00,2.80,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,48.50,37.30,65.50,59.70,59.20,34.20,33.30,16.50,25.20,28.60,13.90,25.40,13.60,15.00,12.20,3.40,3.90,4.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,44.20,33.70,39.80,42.90,39.20,33.30,49.00,38.70,43.50,45.10,22.50,17.30,21.50,13.60,15.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31.60,29.20,0.24,38.90,41.20,51.80,52.80,55.80,44.40,50.30,9.60,13.40,13.00,12.20,8.50,4.80,4.60,7.10,4.40,0.00,2.20,0.00,0.00,0.00,0.00,11001007503
123,76.01,District of Columbia,District of Columbia,1400000US11001007601,"Census Tract 76.01, District of Columbia, District of Columbia",38.86,33.52,39.61,42.46,37.13,43.84,48.34,37.37,36.97,41.36,12.62,12.44,19.05,18.35,19.07,2.70,3.71,3.19,2.22,1.78,1.97,1.99,0.78,0.00,0.67,39.40,38.10,48.00,52.20,49.80,50.10,51.50,41.70,40.20,44.20,7.70,7.30,6.90,6.30,6.10,2.80,3.10,3.40,1.30,0.00,0.00,0.00,0.00,0.00,0.00,25.70,14.60,30.40,34.80,31.30,46.00,51.30,35.10,34.80,35.70,26.30,28.30,28.40,27.20,29.60,2.00,5.80,6.00,3.30,3.40,0.00,0.00,0.00,0.00,0.00,66.50,51.90,47.30,56.90,40.00,24.10,43.20,46.20,36.60,39.10,4.00,0.00,6.50,6.50,20.90,5.40,4.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26.80,37.30,0.23,21.60,5.40,34.50,29.40,21.10,31.90,43.40,19.10,13.00,50.40,42.30,41.60,0.00,0.00,0.00,4.20,5.40,19.60,20.30,5.20,0.00,4.30,11001007601
124,88.02,District of Columbia,District of Columbia,1400000US11001008802,"Census Tract 88.02, District of Columbia, District of Columbia",36.91,39.02,39.15,38.72,37.21,42.64,42.08,39.76,38.94,37.27,17.25,15.68,18.34,18.47,21.61,2.36,2.56,2.59,3.71,3.91,0.84,0.67,0.17,0.17,0.00,45.20,50.90,55.80,51.90,54.10,52.40,48.10,44.20,43.20,39.30,2.50,1.00,0.00,4.90,6.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,34.40,34.00,30.80,29.00,26.40,39.80,41.90,41.60,44.70,50.50,25.80,24.10,26.00,24.60,21.60,0.00,0.00,1.60,1.70,1.60,0.00,0.00,0.00,0.00,0.00,30.20,31.10,18.90,14.90,11.70,32.30,31.10,31.30,29.00,24.70,30.60,26.00,41.00,45.20,54.90,6.90,11.90,8.80,10.80,8.80,0.00,0.00,0.00,0.00,0.00,27.50,26.80,0.38,51.00,53.10,33.10,35.80,30.60,22.10,9.60,25.10,25.30,23.70,13.70,21.10,9.10,7.50,6.50,12.00,16.30,5.20,4.50,1.20,1.20,0.00,11001008802
125,91.02,District of Columbia,District of Columbia,1400000US11001009102,"Census Tract 91.02, District of Columbia, District of Columbia",38.66,39.84,42.80,40.55,40.38,36.89,35.65,37.34,38.97,39.95,17.81,19.52,15.14,13.86,12.90,3.44,3.01,3.59,4.92,3.35,3.19,1.99,1.14,1.70,3.41,50.30,47.90,58.00,57.70,54.20,37.90,38.60,32.70,33.60,40.20,6.50,7.50,8.00,7.20,5.60,1.80,1.90,1.20,1.50,0.00,3.50,4.00,0.00,0.00,0.00,31.80,29.70,25.80,20.20,16.90,42.60,41.30,53.40,53.50,56.80,25.60,29.00,16.80,19.80,18.00,0.00,0.00,0.00,0.00,1.30,0.00,0.00,3.90,6.50,7.00,15.30,29.70,39.00,44.10,33.50,44.00,25.90,25.40,22.50,19.40,34.40,39.80,31.80,26.80,28.60,1.90,0.80,3.80,6.60,6.90,4.30,3.80,0.00,0.00,11.70,41.10,45.70,0.44,34.30,45.90,23.00,30.00,31.00,40.40,36.50,16.70,14.30,13.60,10.70,9.30,12.20,10.10,11.00,14.70,8.30,6.90,0.00,0.00,0.00,0.00,11001009102
126,93.01,District of Columbia,District of Columbia,1400000US11001009301,"Census Tract 93.01, District of Columbia, District of Columbia",13.31,14.11,18.64,20.10,18.23,47.26,44.57,41.73,43.02,45.23,29.82,32.25,32.17,30.81,32.29,8.51,7.01,6.40,4.98,3.30,1.10,2.05,1.05,1.08,0.95,13.80,22.00,36.80,33.50,27.00,78.60,72.10,52.50,50.90,58.90,7.50,5.90,7.80,13.00,11.70,0.00,0.00,2.90,2.60,2.30,0.00,0.00,0.00,0.00,0.00,16.90,17.30,17.10,17.00,17.10,51.40,47.10,48.30,42.00,31.10,14.00,18.10,14.50,27.90,40.40,17.70,17.50,20.10,13.10,11.40,0.00,0.00,0.00,0.00,0.00,8.20,0.00,0.00,0.00,0.00,36.10,27.00,34.20,35.20,31.30,45.90,64.40,58.70,55.60,61.20,9.80,0.00,0.00,0.00,0.00,0.00,8.60,7.10,9.20,7.50,10.60,9.10,0.06,9.60,12.20,6.80,19.40,26.30,33.90,38.40,70.10,61.20,64.20,52.90,49.40,8.40,7.10,3.60,3.60,0.00,4.20,3.20,0.00,0.00,0.00,11001009301
127,95.04,District of Columbia,District of Columbia,1400000US11001009504,"Census Tract 95.04, District of Columbia, District of Columbia",16.29,21.46,22.00,18.93,22.62,51.91,54.52,53.86,57.82,57.45,23.46,17.52,18.39,16.42,13.69,7.64,6.09,5.25,6.31,5.63,0.70,0.41,0.49,0.52,0.61,28.10,41.90,38.20,32.70,32.20,63.50,55.30,59.10,64.60,66.10,3.10,2.80,2.70,2.70,1.60,5.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.50,13.20,13.10,13.80,17.60,35.00,50.60,44.40,55.30,55.60,44.40,29.70,35.40,26.30,22.20,9.10,6.50,7.00,4.60,4.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.50,48.30,51.60,52.20,67.10,50.70,41.00,32.90,35.80,26.20,3.90,8.30,11.80,8.20,6.70,3.90,2.40,3.70,3.80,0.00,6.60,0.00,0.00,0.00,26.40,60.90,74.00,69.40,43.50,27.60,13.20,0.00,11.80,19.10,19.50,19.20,26.00,18.80,37.40,22.40,0.00,0.00,0.00,0.00,4.00,11001009504
128,95.05,District of Columbia,District of Columbia,1400000US11001009505,"Census Tract 95.05, District of Columbia, District of Columbia",32.85,28.52,30.52,28.51,22.31,45.42,50.50,44.90,41.09,44.90,13.46,15.08,19.92,24.98,25.80,8.08,5.18,3.30,4.80,6.33,0.18,0.73,1.36,0.63,0.66,34.10,22.80,18.70,9.60,7.70,63.60,74.60,68.10,72.70,74.00,2.40,2.60,13.30,17.70,18.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.30,20.50,25.60,16.40,22.40,53.30,53.70,49.60,46.20,41.80,15.00,25.80,24.80,37.50,33.40,13.30,0.00,0.00,0.00,2.30,0.00,0.00,0.00,0.00,0.00,61.20,44.20,66.50,66.20,59.10,12.60,19.60,5.20,4.50,6.20,21.40,15.20,23.90,25.20,25.40,2.90,15.20,4.50,4.10,9.30,1.90,5.80,0.00,0.00,0.00,42.10,45.30,0.36,47.10,18.30,4.20,7.20,15.80,0.00,0.00,33.20,27.60,26.20,23.30,36.70,20.50,19.90,14.80,25.60,38.50,0.00,0.00,7.70,4.10,6.40,11001009505
129,95.08,District of Columbia,District of Columbia,1400000US11001009508,"Census Tract 95.08, District of Columbia, District of Columbia",24.00,24.08,25.88,28.80,26.41,54.42,54.04,48.36,45.37,49.11,17.38,17.16,14.33,12.78,11.90,2.47,3.62,7.20,8.43,8.32,1.73,1.10,4.23,4.63,4.26,34.80,32.10,36.40,39.30,36.30,65.20,60.90,54.70,50.60,52.40,0.00,2.90,3.20,4.80,5.20,0.00,4.20,5.60,5.30,6.20,0.00,0.00,0.00,0.00,0.00,19.00,21.60,20.60,17.10,16.20,45.50,42.70,37.90,39.00,43.10,35.50,35.70,33.20,31.50,28.30,0.00,0.00,8.30,12.30,12.40,0.00,0.00,0.00,0.00,0.00,12.10,9.10,6.80,24.30,24.60,39.00,54.50,53.10,44.50,43.20,42.60,36.40,35.70,17.30,14.60,0.00,0.00,4.30,13.90,17.60,6.40,0.00,0.00,0.00,0.00,12.00,13.20,0.13,10.70,12.60,51.80,53.90,35.70,36.00,53.70,14.60,12.30,10.70,12.10,4.70,14.60,12.30,13.50,9.80,0.00,6.90,8.20,27.50,31.30,29.00,11001009508
130,96.01,District of Columbia,District of Columbia,1400000US11001009601,"Census Tract 96.01, District of Columbia, District of Columbia",37.63,42.45,35.71,32.86,29.40,39.03,36.85,45.54,40.23,36.31,19.52,15.10,15.82,23.42,32.62,3.83,5.60,2.93,3.49,1.67,0.00,0.00,0.00,0.00,0.00,57.80,55.90,47.40,44.70,42.70,32.40,24.30,33.00,40.30,27.00,9.80,15.60,14.80,7.50,27.00,0.00,4.20,4.80,7.50,3.40,0.00,0.00,0.00,0.00,0.00,32.50,37.10,31.20,29.60,34.80,37.20,47.10,50.90,42.90,29.60,25.10,11.90,14.50,27.50,35.60,5.20,3.80,3.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.20,33.70,52.40,72.30,78.10,37.60,44.60,45.20,21.30,21.90,32.10,6.50,0.00,0.00,0.00,10.10,15.20,2.40,6.40,0.00,0.00,0.00,0.00,0.00,0.00,28.50,34.50,0.22,16.00,15.50,50.00,38.90,51.80,44.30,46.30,18.00,21.70,24.50,36.60,36.10,3.50,4.90,1.40,3.10,2.10,0.00,0.00,0.00,0.00,0.00,11001009601
